"Trip mode","Start time | End time","Departure | Arrival","Odometer Departure | Odometer Arrival",Distance,Driver,Vehicle,Purpose,Contact," "
Business,"05/26/23, 03:21 PM | 05/26/23, 06:49 PM","Departure: 2735 L St, Sacramento CA 95816, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","138,639.9 mi | 138,769.4 mi","129.6 mi",—,"3501  – 3501",—,—," "
Business,"05/26/23, 02:47 PM | 05/26/23, 05:38 PM","Departure: Coastal Trl, Sausalito CA 94965, US | Arrival: 470 Dawson Ave, San Jose CA 95125, US","289,478.6 mi | 289,546.0 mi","67.4 mi",—,"2302  – 2302",—,—," "
Business,"05/26/23, 04:27 PM | 05/26/23, 05:20 PM","Departure: Utah Ave, South San Francisco CA 94080, US | Arrival: 106 Bowling Green Dr, San Francisco CA 94122, US","140,735.9 mi | 140,750.3 mi","14.3 mi",—,"4001  – 4001",—,—," "
Business,"05/26/23, 01:17 PM | 05/26/23, 05:10 PM","Departure: 32 Muir Woods Rd, Mill Valley CA 94941, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","10,655.2 mi | 10,733.9 mi","78.7 mi",—,"3602 – 3602",—,—," "
Business,"05/26/23, 02:43 PM | 05/26/23, 05:08 PM","Departure: Walkway Rd, Sausalito CA 94965, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","80,338.1 mi | 80,384.2 mi","46.1 mi",—,"2802  – 2802",—,—," "
Business,"05/26/23, 04:33 PM | 05/26/23, 04:55 PM","Departure: Interstate Highway 80 E, Pinole CA 94564, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","50,680.9 mi | 50,687.5 mi","6.6 mi",—,"3601  – 3601",—,—," "
Business,"05/26/23, 02:14 PM | 05/26/23, 04:02 PM","Departure: 14781 Juniper St, San Leandro CA 94579, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","126,258.7 mi | 126,293.6 mi","34.9 mi",—,"4402  – 4402",—,—," "
Business,"05/26/23, 12:18 PM | 05/26/23, 03:55 PM","Departure: Camp Wastashi Rd, Felton CA 95018, US | Arrival: Interstate Highway 80 E, Pinole CA 94564, US","50,566.2 mi | 50,680.9 mi","114.8 mi",—,"3601  – 3601",—,—," "
Business,"05/26/23, 02:34 PM | 05/26/23, 03:35 PM","Departure: KIPP San Francisco Bay Academy, Geary Blvd, San Francisco CA 94115, US | Arrival: Utah Ave, South San Francisco CA 94080, US","140,718.5 mi | 140,735.9 mi","17.4 mi",—,"4001  – 4001",—,—," "
Business,"05/26/23, 01:46 PM | 05/26/23, 03:17 PM","Departure: DHarris Tours – HQ, San Pablo Ave, Crockett CA 94525, US | Arrival: Great America Pkwy, Santa Clara CA 95054, US","388,490.8 mi | 388,551.2 mi","60.5 mi",—,"3801  – 3801",—,—," "
Business,"05/26/23, 01:51 PM | 05/26/23, 02:26 PM","Departure: 536 Alhambra Blvd, Sacramento CA 95816, US | Arrival: 2739 L St, Sacramento CA 95816, US","138,635.8 mi | 138,639.9 mi","4.1 mi",—,"3501  – 3501",—,—," "
Business,"05/26/23, 01:52 PM | 05/26/23, 02:19 PM","Departure: 3093 F Street G Street Aly, Sacramento CA 95816, US | Arrival: 2725 L St, Sacramento CA 95816, US","13,456.3 mi | 13,460.3 mi","4.1 mi",—,"4403 – 4403",—,—," "
Business,"05/26/23, 01:53 PM | 05/26/23, 02:04 PM","Departure: Sommerville Rd, Sausalito CA 94965, US | Arrival: Walkway Rd, Sausalito CA 94965, US","80,338.0 mi | 80,338.1 mi","264 yd",—,"2802  – 2802",—,—," "
Business,"05/26/23, 12:25 PM | 05/26/23, 02:01 PM","Departure: Camp Wastashi Rd, Felton CA 95018, US | Arrival: 14781 Juniper St, San Leandro CA 94579, US","126,195.3 mi | 126,258.7 mi","63.4 mi",—,"4402  – 4402",—,—," "
Business,"05/26/23, 12:16 PM | 05/26/23, 02:00 PM","Departure: New Breitung Rd, Sausalito CA 94965, US | Arrival: KIPP San Francisco Bay Academy, Geary Blvd, San Francisco CA 94115, US","140,703.7 mi | 140,718.5 mi","14.8 mi",—,"4001  – 4001",—,—," "
Business,"05/26/23, 01:48 PM | 05/26/23, 01:55 PM","Departure: Field Rd, Sausalito CA 94965, US | Arrival: Coastal Trl, Sausalito CA 94965, US","289,476.7 mi | 289,478.6 mi","1.9 mi",—,"2302  – 2302",—,—," "
Business,"05/26/23, 12:31 PM | 05/26/23, 12:54 PM","Departure: 802 2nd St, Sacramento CA 95814, US | Arrival: 540 Alhambra Blvd, Sacramento CA 95816, US","138,633.2 mi | 138,635.8 mi","2.7 mi",—,"3501  – 3501",—,—," "
Business,"05/26/23, 12:31 PM | 05/26/23, 12:47 PM","Departure: 802 2nd St, Sacramento CA 95814, US | Arrival: 3093 F Street G Street Aly, Sacramento CA 95816, US","13,453.6 mi | 13,456.3 mi","2.6 mi",—,"4403 – 4403",—,—," "
Business,"05/26/23, 11:10 AM | 05/26/23, 11:53 AM","Departure: 6273 Mt Hermon Rd, Felton CA 95018, US | Arrival: Camp Wastashi Rd, Felton CA 95018, US","50,562.6 mi | 50,566.2 mi","3.5 mi",—,"3601  – 3601",—,—," "
Business,"05/26/23, 08:15 AM | 05/26/23, 11:40 AM","Departure: 22074 Arbor Ave, Hayward CA 94541, US | Arrival: 9101 Camp Wastashi Rd, Felton CA 95018, US","126,076.7 mi | 126,195.3 mi","118.6 mi",—,"4402  – 4402",—,—," "
Business,"05/26/23, 11:01 AM | 05/26/23, 11:05 AM","Departure: New Breitung Rd, Sausalito CA 94965, US | Arrival: Sommerville Rd, Sausalito CA 94965, US","80,337.7 mi | 80,338.0 mi","379 yd",—,"2802  – 2802",—,—," "
Business,"05/26/23, 10:50 AM | 05/26/23, 10:57 AM","Departure: Field Rd, Sausalito CA 94965, US | Arrival: Field Rd, Sausalito CA 94965, US","289,475.9 mi | 289,476.7 mi","0.8 mi",—,"2302  – 2302",—,—," "
